B01001_001E,B01001_001EA,B01001_001M,B01001_001MA,B01001_002E,B01001_002EA,B01001_002M,B01001_002MA,B01001_003E,B01001_003EA,B01001_003M,B01001_003MA,B01001_004E,B01001_004EA,B01001_004M,B01001_004MA,B01001_005E,B01001_005EA,B01001_005M,B01001_005MA,B01001_006E,B01001_006EA,B01001_006M,B01001_006MA,B01001_007E,B01001_007EA,B01001_007M,B01001_007MA,B01001_008E,B01001_008EA,B01001_008M,B01001_008MA,B01001_009E,B01001_009EA,B01001_009M,B01001_009MA,B01001_010E,B01001_010EA,B01001_010M,B01001_010MA,B01001_011E,B01001_011EA,B01001_011M,B01001_011MA,B01001_012E,B01001_012EA,B01001_012M,B01001_012MA,B01001_013E,B01001_013EA,B01001_013M,B01001_013MA,B01001_014E,B01001_014EA,B01001_014M,B01001_014MA,B01001_015E,B01001_015EA,B01001_015M,B01001_015MA,B01001_016E,B01001_016EA,B01001_016M,B01001_016MA,B01001_017E,B01001_017EA,B01001_017M,B01001_017MA,B01001_018E,B01001_018EA,B01001_018M,B01001_018MA,B01001_019E,B01001_019EA,B01001_019M,B01001_019MA,B01001_020E,B01001_020EA,B01001_020M,B01001_020MA,B01001_021E,B01001_021EA,B01001_021M,B01001_021MA,B01001_022E,B01001_022EA,B01001_022M,B01001_022MA,B01001_023E,B01001_023EA,B01001_023M,B01001_023MA,B01001_024E,B01001_024EA,B01001_024M,B01001_024MA,B01001_025E,B01001_025EA,B01001_025M,B01001_025MA,B01001_026E,B01001_026EA,B01001_026M,B01001_026MA,B01001_027E,B01001_027EA,B01001_027M,B01001_027MA,B01001_028E,B01001_028EA,B01001_028M,B01001_028MA,B01001_029E,B01001_029EA,B01001_029M,B01001_029MA,B01001_030E,B01001_030EA,B01001_030M,B01001_030MA,B01001_031E,B01001_031EA,B01001_031M,B01001_031MA,B01001_032E,B01001_032EA,B01001_032M,B01001_032MA,B01001_033E,B01001_033EA,B01001_033M,B01001_033MA,B01001_034E,B01001_034EA,B01001_034M,B01001_034MA,B01001_035E,B01001_035EA,B01001_035M,B01001_035MA,B01001_036E,B01001_036EA,B01001_036M,B01001_036MA,B01001_037E,B01001_037EA,B01001_037M,B01001_037MA,B01001_038E,B01001_038EA,B01001_038M,B01001_038MA,B01001_039E,B01001_039EA,B01001_039M,B01001_039MA,B01001_040E,B01001_040EA,B01001_040M,B01001_040MA,B01001_041E,B01001_041EA,B01001_041M,B01001_041MA,B01001_042E,B01001_042EA,B01001_042M,B01001_042MA,B01001_043E,B01001_043EA,B01001_043M,B01001_043MA,B01001_044E,B01001_044EA,B01001_044M,B01001_044MA,B01001_045E,B01001_045EA,B01001_045M,B01001_045MA,B01001_046E,B01001_046EA,B01001_046M,B01001_046MA,B01001_047E,B01001_047EA,B01001_047M,B01001_047MA,B01001_048E,B01001_048EA,B01001_048M,B01001_048MA,B01001_049E,B01001_049EA,B01001_049M,B01001_049MA,GEO_ID,NAME,state,year
2988762,,-555555555,*****,1450379,,1115,,95979,,700,,102480,,1952,,106018,,1953,,63377,,655,,45181,,906,,23790,,1284,,22584,,1319,,61421,,1673,,100717,,735,,90580,,879,,92633,,1692,,88342,,1719,,88387,,669,,93735,,604,,94243,,1462,,36691,,1480,,49642,,1153,,30461,,953,,40787,,1012,,51581,,1233,,36006,,1050,,20518,,762,,15226,,884,,1538383,,1115,,92596,,766,,98094,,1694,,101336,,1780,,60428,,610,,43900,,935,,22922,,1033,,23078,,1080,,58264,,1394,,101372,,630,,96094,,544,,97471,,1668,,92468,,1676,,95135,,542,,101016,,498,,103293,,1699,,39832,,1212,,56185,,1467,,33996,,1059,,46741,,1145,,61955,,1279,,46106,,1151,,32666,,972,,33435,,996,,0400000US28,Mississippi,28,2018
6090062,,-555555555,*****,2988772,,1158,,191209,,599,,194598,,2100,,201574,,2123,,122092,,608,,82610,,821,,45190,,1634,,43901,,1421,,125747,,1990,,206022,,750,,198711,,770,,190079,,2174,,175047,,2153,,184785,,615,,203502,,525,,204846,,1861,,78470,,1428,,108973,,1535,,64196,,1622,,85541,,1662,,112267,,1570,,76976,,1134,,50603,,1120,,41833,,1004,,3101290,,1158,,181723,,576,,186985,,1952,,191061,,1946,,115821,,567,,76296,,639,,43329,,1450,,41696,,1668,,121392,,1979,,205093,,591,,199198,,664,,188912,,2230,,179482,,2242,,189784,,633,,209889,,538,,220493,,2064,,83330,,1841,,116530,,1942,,70898,,1632,,97292,,1615,,131292,,1903,,98004,,1428,,70311,,1456,,82479,,1387,,0400000US29,Missouri,29,2018
1041732,,-555555555,*****,524220,,629,,32041,,451,,32428,,677,,32877,,750,,19675,,233,,13789,,442,,8742,,706,,7621,,565,,22453,,883,,34244,,384,,33057,,333,,32959,,1073,,29195,,1060,,29955,,336,,33003,,277,,36495,,747,,15636,,623,,22215,,683,,13700,,602,,18214,,605,,23139,,618,,15307,,474,,9545,,495,,7930,,451,,517512,,629,,29769,,327,,31113,,910,,31350,,873,,18339,,325,,12649,,396,,6482,,452,,6914,,603,,21223,,774,,32246,,381,,32412,,347,,31222,,874,,27533,,878,,29146,,296,,33798,,274,,38760,,914,,15851,,688,,22717,,905,,13298,,582,,18546,,604,,22874,,852,,16596,,525,,11503,,588,,13171,,562,,0400000US30,Montana,30,2018
1904760,,-555555555,*****,949910,,674,,67859,,358,,67718,,1187,,67602,,1140,,39442,,272,,27307,,320,,13668,,817,,14948,,729,,41167,,1059,,64390,,322,,65885,,359,,62535,,1214,,55944,,1121,,55660,,317,,59732,,279,,62220,,1010,,24543,,868,,31666,,732,,19820,,558,,24724,,718,,31581,,601,,22081,,588,,15354,,606,,14064,,448,,954850,,673,,63953,,401,,64572,,1050,,64357,,1050,,37015,,251,,25586,,374,,14545,,824,,13137,,841,,39421,,1138,,60569,,317,,63533,,352,,60669,,990,,53511,,988,,53974,,331,,59682,,322,,63150,,1004,,24256,,725,,34464,,821,,20290,,666,,27509,,704,,35129,,697,,26737,,642,,21525,,619,,27266,,712,,0400000US31,Nebraska,31,2018
2922849,,-555555555,*****,1467165,,377,,93316,,211,,97511,,1428,,96078,,1450,,57719,,251,,33737,,270,,19239,,1082,,18535,,896,,55066,,1273,,109890,,310,,106517,,276,,99481,,1714,,97941,,1642,,99550,,263,,98101,,270,,92745,,1556,,35012,,1259,,49290,,1185,,30857,,1084,,43429,,1232,,57648,,1219,,37116,,968,,22677,,870,,15710,,811,,1455684,,377,,88995,,245,,91454,,1483,,94554,,1465,,54849,,212,,30908,,214,,17688,,1005,,17213,,926,,54537,,1203,,105969,,199,,102119,,216,,96169,,1606,,96375,,1562,,95944,,247,,95051,,209,,93462,,1527,,36928,,1158,,52855,,1379,,33653,,1079,,46380,,1141,,61156,,1187,,40082,,810,,25384,,842,,23959,,853,,0400000US32,Nevada,32,2018
1343622,,-555555555,*****,664983,,433,,32777,,204,,36680,,935,,38934,,960,,25686,,220,,19324,,327,,9623,,573,,8856,,627,,28068,,929,,42722,,301,,40204,,219,,38624,,933,,38820,,933,,46684,,240,,52806,,289,,54593,,1138,,19758,,864,,26922,,1042,,16994,,699,,21998,,724,,26638,,747,,16705,,631,,11045,,546,,10522,,614,,678639,,433,,31302,,219,,35323,,1093,,37675,,1081,,24186,,227,,19456,,337,,9195,,799,,9239,,808,,25183,,904,,39176,,255,,39439,,223,,38050,,884,,40177,,976,,47359,,238,,54071,,259,,55894,,1062,,21091,,854,,27741,,915,,17026,,743,,23587,,825,,29472,,831,,20468,,745,,14689,,756,,18840,,701,,0400000US33,New Hampshire,33,2018
8881845,,-555555555,*****,4335930,,472,,266146,,204,,274580,,2498,,287970,,2547,,178390,,257,,112019,,229,,56134,,1736,,58760,,1434,,172487,,1801,,290424,,320,,285524,,249,,283386,,2462,,282410,,2467,,304386,,248,,322210,,259,,308091,,2265,,112999,,2005,,150687,,2083,,86995,,1696,,118292,,1932,,148824,,1732,,102064,,1490,,67531,,1389,,65621,,1313,,4545915,,472,,255538,,230,,265755,,2594,,274698,,2645,,170325,,222,,104436,,267,,54403,,1656,,53892,,1710,,166770,,2069,,276273,,253,,283444,,247,,289582,,2409,,287846,,2363,,319607,,258,,340042,,267,,328115,,2790,,124350,,2107,,163303,,2136,,99856,,1860,,135876,,2058,,182702,,2375,,133834,,1879,,103217,,1923,,132051,,1934,,0400000US34,New Jersey,34,2018
2092434,,-555555555,*****,1035850,,702,,65489,,351,,68991,,1481,,74413,,1534,,43073,,340,,28906,,494,,14532,,874,,16461,,1039,,46280,,1101,,72920,,451,,71647,,546,,65487,,1252,,58525,,1245,,59422,,387,,64072,,315,,66737,,1276,,26595,,1034,,36576,,1149,,23323,,853,,31120,,1049,,41466,,1136,,27747,,817,,17926,,848,,14142,,684,,1056584,,702,,62868,,344,,68869,,1473,,69480,,1413,,40981,,374,,27228,,438,,15083,,951,,14125,,851,,41375,,1154,,68360,,538,,67732,,421,,62609,,1321,,60633,,1295,,61011,,359,,67898,,260,,73080,,1407,,28397,,960,,41064,,1165,,26582,,1209,,34992,,1094,,45445,,1143,,32319,,888,,23045,,783,,23408,,883,,0400000US35,New Mexico,35,2018
19618453,,-555555555,*****,9519555,,859,,594981,,459,,572979,,3455,,586127,,3535,,362400,,410,,260177,,698,,139796,,2764,,136000,,2438,,405268,,3487,,742377,,661,,684918,,642,,616111,,4299,,585959,,4234,,631943,,722,,668150,,596,,648749,,3977,,246711,,3086,,327039,,3394,,197948,,2531,,258792,,2564,,328161,,2727,,226282,,2521,,153959,,2262,,144728,,2023,,10098898,,859,,568625,,437,,548195,,3531,,560394,,3485,,347932,,449,,254251,,741,,135247,,2674,,133323,,3236,,406416,,3712,,741922,,590,,691625,,583,,635317,,4185,,608683,,4209,,664013,,471,,711540,,478,,693619,,3693,,275065,,2931,,363912,,3397,,228196,,2963,,302021,,3438,,404448,,3810,,302182,,2695,,228389,,2465,,293583,,2447,,0400000US36,New York,36,2018
10155624,,-555555555,*****,4944759,,1509,,308599,,789,,323060,,2894,,337551,,2892,,201335,,690,,143919,,1081,,79011,,2048,,76073,,1972,,208855,,2423,,344310,,899,,318284,,816,,310634,,3347,,323661,,3191,,335652,,787,,335438,,718,,323640,,2619,,122190,,1892,,167443,,2050,,106784,,1911,,146604,,1978,,181219,,2045,,120326,,1465,,73844,,1370,,56327,,1295,,5210865,,1509,,294594,,711,,312286,,3106,,321145,,3096,,194046,,544,,136995,,989,,68980,,1946,,67299,,2130,,200102,,2687,,347356,,684,,329535,,810,,328935,,3177,,336015,,3198,,350558,,685,,354986,,587,,353337,,2938,,135186,,2180,,193616,,2863,,121442,,1855,,166596,,2117,,219244,,2325,,154668,,1956,,109841,,1864,,114103,,1741,,0400000US37,North Carolina,37,2018
