Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Idaho)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,9,15,0,0,0
2016-02,9,13,0,0,0
2016-03,12,16,0,0,0
2016-04,12,12,12,0,0
2016-05,0,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,9,0,0,0,0
2016-10,16,12,0,23,0
2016-11,10,0,0,0,0
2016-12,7,0,0,0,0
2017-01,24,28,26,67,0
2017-02,18,14,21,29,0
2017-03,26,14,13,27,0
2017-04,20,25,19,27,0
2017-05,21,13,9,21,0
2017-06,17,15,0,0,0
2017-07,8,0,0,0,0
2017-08,9,13,0,23,0
2017-09,7,0,0,0,0
2017-10,16,12,0,0,0
2017-11,14,18,12,22,0
2017-12,13,22,9,18,0
2018-01,21,17,20,0,0
2018-02,15,19,14,0,0
2018-03,23,16,13,0,0
2018-04,79,100,71,85,0
2018-05,29,21,13,20,0
2018-06,14,15,0,0,0
2018-07,35,46,38,45,0
2018-08,18,23,26,0,0
2018-09,14,13,14,0,0
2018-10,15,20,0,21,0
2018-11,25,26,20,52,0
2018-12,20,11,20,0,0
2019-01,24,17,13,0,0
2019-02,14,19,9,0,0
2019-03,20,33,16,19,0
2019-04,62,56,52,49,0
2019-05,36,27,17,31,0
2019-06,14,24,16,0,0
2019-07,12,15,11,18,0
2019-08,10,0,14,0,0
2019-09,19,19,23,0,0
2019-10,18,16,20,29,0
2019-11,29,14,15,18,0
2019-12,13,27,12,21,0
2020-01,30,29,15,0,0
2020-02,30,41,16,25,0
2020-03,19,12,11,0,0
2020-04,17,23,11,16,0
2020-05,13,13,13,0,0
2020-06,9,15,11,0,0
2020-07,7,0,14,0,0
2020-08,17,14,17,0,0
2020-09,28,37,20,22,0
2020-10,25,95,18,17,0
2020-11,27,19,19,0,0
2020-12,16,13,15,18,0
2021-01,12,14,12,0,0
2021-02,19,19,12,0,0
2021-03,25,14,17,0,0
2021-04,15,11,8,0,0
2021-05,14,12,8,0,0
2021-06,11,0,10,0,0
2021-07,6,12,8,0,0
2021-08,9,0,0,0,0
2021-09,11,11,0,0,0
2021-10,16,11,0,25,0
2021-11,23,22,25,0,0
2021-12,15,11,10,0,0
2022-01,16,0,0,0,0
2022-02,24,13,22,0,0
2022-03,22,27,17,0,0
2022-04,31,16,24,34,0
2022-05,25,21,22,36,0
2022-06,9,10,13,32,0
2022-07,14,0,15,27,0
2022-08,13,0,12,0,0
2022-09,48,15,17,0,0
2022-10,51,27,27,44,0
2022-11,33,15,16,27,0
2022-12,73,37,40,56,0
2023-01,59,25,28,39,0
