Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Maine)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,9,0
2016-01,3,0,0,0,0
2016-02,3,5,0,0,0
2016-03,2,5,0,0,0
2016-04,5,0,0,0,0
2016-05,4,5,4,0,0
2016-06,0,0,0,0,0
2016-07,3,0,0,0,0
2016-08,0,0,0,0,0
2016-09,3,0,0,0,0
2016-10,5,0,0,7,0
2016-11,4,6,0,0,0
2016-12,2,0,0,0,0
2017-01,9,14,10,22,0
2017-02,5,6,5,11,0
2017-03,10,5,5,9,0
2017-04,6,9,6,7,0
2017-05,7,6,4,8,0
2017-06,6,7,0,0,0
2017-07,3,4,0,0,0
2017-08,5,4,0,11,0
2017-09,3,0,0,0,0
2017-10,6,4,0,0,0
2017-11,6,6,3,7,0
2017-12,5,5,0,8,0
2018-01,8,6,6,0,0
2018-02,5,7,6,11,0
2018-03,8,6,6,9,0
2018-04,31,39,26,32,0
2018-05,10,7,4,7,0
2018-06,5,5,0,8,0
2018-07,13,16,13,16,0
2018-08,7,9,8,0,0
2018-09,4,4,6,0,0
2018-10,5,8,5,7,0
2018-11,9,10,8,19,0
2018-12,9,6,0,0,0
2019-01,8,8,5,0,0
2019-02,6,7,4,0,0
2019-03,8,9,7,0,0
2019-04,22,19,19,17,0
2019-05,12,10,5,9,0
2019-06,5,10,4,0,0
2019-07,5,6,4,0,0
2019-08,3,6,0,0,0
2019-09,7,5,9,0,0
2019-10,6,7,7,11,0
2019-11,10,6,5,7,0
2019-12,5,13,6,0,0
2020-01,10,9,6,8,0
2020-02,11,15,6,10,0
2020-03,7,4,5,5,0
2020-04,5,5,4,8,0
2020-05,4,4,4,5,0
2020-06,4,4,3,0,0
2020-07,2,0,4,0,0
2020-08,5,0,6,0,0
2020-09,10,13,8,7,0
2020-10,8,35,7,0,0
2020-11,10,5,7,6,0
2020-12,6,0,6,0,0
2021-01,5,5,3,0,0
2021-02,8,6,3,0,100
2021-03,9,5,8,8,78
2021-04,8,5,7,8,0
2021-05,6,0,4,0,0
2021-06,5,0,3,0,0
2021-07,3,0,0,0,0
2021-08,4,4,0,0,0
2021-09,6,4,5,0,0
2021-10,6,4,4,8,0
2021-11,9,8,9,0,0
2021-12,6,5,3,7,0
2022-01,6,0,0,0,0
2022-02,8,4,7,0,0
2022-03,8,10,6,7,0
2022-04,10,6,9,11,0
2022-05,9,7,8,13,0
2022-06,4,0,3,0,0
2022-07,5,3,6,7,0
2022-08,5,0,5,0,0
2022-09,18,5,7,0,0
2022-10,18,8,9,14,0
2022-11,11,6,6,7,0
2022-12,27,13,15,21,0
2023-01,21,9,10,12,0
