Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Montana)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,8,0
2016-01,3,0,0,0,0
2016-02,2,5,0,0,0
2016-03,2,5,0,0,0
2016-04,4,0,0,0,0
2016-05,3,4,3,0,0
2016-06,0,0,0,0,0
2016-07,2,0,0,0,0
2016-08,0,0,0,0,0
2016-09,3,0,0,0,0
2016-10,4,0,0,6,0
2016-11,4,5,0,0,0
2016-12,2,0,0,0,0
2017-01,8,12,8,19,0
2017-02,5,5,5,10,0
2017-03,9,4,4,7,0
2017-04,5,8,5,6,0
2017-05,6,5,3,7,0
2017-06,5,6,0,0,0
2017-07,2,4,0,0,0
2017-08,4,4,0,9,0
2017-09,3,0,0,0,0
2017-10,5,3,0,0,0
2017-11,5,5,3,6,0
2017-12,4,4,0,7,0
2018-01,7,5,6,0,0
2018-02,4,6,5,9,100
2018-03,7,5,5,8,0
2018-04,27,33,22,28,0
2018-05,9,6,3,6,0
2018-06,4,4,0,6,0
2018-07,11,13,11,14,0
2018-08,6,8,6,0,0
2018-09,4,4,5,0,0
2018-10,4,7,4,6,0
2018-11,8,8,6,16,0
2018-12,7,6,0,0,0
2019-01,7,7,4,0,0
2019-02,5,6,3,0,0
2019-03,7,8,6,0,0
2019-04,19,16,16,14,0
2019-05,10,9,5,8,0
2019-06,4,8,4,0,0
2019-07,4,5,4,0,0
2019-08,3,5,0,0,0
2019-09,6,4,7,0,0
2019-10,5,6,6,9,0
2019-11,9,5,4,6,0
2019-12,4,11,5,0,0
2020-01,8,7,5,7,0
2020-02,9,13,5,9,0
2020-03,6,3,4,5,0
2020-04,4,5,4,7,0
2020-05,4,3,3,4,0
2020-06,3,4,3,0,0
2020-07,2,0,3,0,0
2020-08,4,0,5,0,0
2020-09,9,11,7,6,0
2020-10,7,30,6,0,0
2020-11,9,5,6,5,0
2020-12,5,0,5,0,0
2021-01,4,4,3,0,0
2021-02,7,5,3,0,0
2021-03,8,4,6,7,0
2021-04,7,4,6,7,0
2021-05,5,0,3,0,0
2021-06,4,0,3,0,0
2021-07,3,0,0,0,0
2021-08,3,3,0,0,0
2021-09,5,4,5,0,0
2021-10,5,4,4,7,0
2021-11,7,6,8,0,0
2021-12,5,4,3,6,0
2022-01,5,0,0,0,0
2022-02,6,4,6,0,0
2022-03,7,8,5,6,0
2022-04,9,5,8,9,0
2022-05,8,6,7,11,0
2022-06,3,0,3,0,0
2022-07,4,3,5,6,0
2022-08,4,0,4,0,0
2022-09,15,4,6,0,0
2022-10,15,7,8,12,0
2022-11,9,5,5,6,0
2022-12,23,11,13,18,0
2023-01,18,8,8,11,0
