Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Arizona)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,21,0
2016-01,8,0,0,0,0
2016-02,6,12,0,0,0
2016-03,5,12,0,0,0
2016-04,11,0,0,0,0
2016-05,8,12,8,0,0
2016-06,0,0,0,0,0
2016-07,6,0,0,0,0
2016-08,0,0,0,0,0
2016-09,7,0,0,0,0
2016-10,11,0,0,15,0
2016-11,10,14,0,0,0
2016-12,5,0,0,0,0
2017-01,21,31,23,50,37
2017-02,12,13,12,25,0
2017-03,23,12,10,20,0
2017-04,15,21,13,17,0
2017-05,16,14,9,18,0
2017-06,13,17,0,0,0
2017-07,6,10,0,0,0
2017-08,10,9,0,25,0
2017-09,7,0,0,0,0
2017-10,14,8,0,0,0
2017-11,14,15,7,16,0
2017-12,12,11,0,18,0
2018-01,18,14,15,0,0
2018-02,12,15,13,25,0
2018-03,18,14,13,21,0
2018-04,71,88,60,74,70
2018-05,24,15,9,16,0
2018-06,11,12,0,17,0
2018-07,28,36,31,36,43
2018-08,16,21,17,0,0
2018-09,9,9,13,0,0
2018-10,11,18,11,16,0
2018-11,20,23,17,43,0
2018-12,20,15,0,0,0
2019-01,18,18,12,0,0
2019-02,14,17,9,0,0
2019-03,18,21,15,0,0
2019-04,51,44,43,39,52
2019-05,28,23,12,21,0
2019-06,12,22,9,0,0
2019-07,11,13,10,0,0
2019-08,8,13,0,0,0
2019-09,15,11,20,0,0
2019-10,15,15,17,24,38
2019-11,23,13,11,15,0
2019-12,11,29,13,0,0
2020-01,23,20,13,18,0
2020-02,25,35,13,24,0
2020-03,16,9,12,12,0
2020-04,11,12,9,18,0
2020-05,10,9,9,12,0
2020-06,8,10,8,0,0
2020-07,4,0,9,0,0
2020-08,12,0,13,0,0
2020-09,23,30,18,17,0
2020-10,19,79,17,0,0
2020-11,23,12,16,14,29
2020-12,13,0,13,0,0
2021-01,10,12,8,0,0
2021-02,19,15,8,0,0
2021-03,21,11,17,18,0
2021-04,19,10,17,19,0
2021-05,13,0,8,0,0
2021-06,11,0,7,0,0
2021-07,7,0,0,0,0
2021-08,9,8,0,0,0
2021-09,13,10,12,0,0
2021-10,13,10,10,18,0
2021-11,19,17,20,0,0
2021-12,13,11,8,16,0
2022-01,14,0,0,0,0
2022-02,17,10,16,0,0
2022-03,19,22,14,17,0
2022-04,23,13,20,25,0
2022-05,21,17,19,30,0
2022-06,9,0,7,0,0
2022-07,11,8,13,17,0
2022-08,11,0,11,0,0
2022-09,40,12,16,0,0
2022-10,41,19,21,32,38
2022-11,25,14,15,17,0
2022-12,61,30,34,47,46
2023-01,47,21,22,28,100
