Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (New Hampshire)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,18,0
2016-01,7,0,0,0,0
2016-02,5,11,0,0,0
2016-03,4,11,0,0,0
2016-04,9,0,0,0,0
2016-05,7,10,7,0,0
2016-06,0,0,0,0,0
2016-07,6,0,0,0,0
2016-08,0,0,0,0,0
2016-09,6,0,0,0,0
2016-10,10,0,0,13,0
2016-11,9,12,0,0,0
2016-12,5,0,0,0,0
2017-01,18,27,20,43,0
2017-02,11,12,11,22,0
2017-03,20,10,9,17,0
2017-04,13,18,11,15,0
2017-05,14,12,8,15,0
2017-06,11,15,0,0,0
2017-07,5,9,0,0,0
2017-08,9,8,0,21,0
2017-09,6,0,0,0,0
2017-10,12,7,0,0,0
2017-11,12,13,6,14,0
2017-12,10,9,0,15,0
2018-01,16,12,13,0,0
2018-02,10,13,12,22,0
2018-03,16,12,11,18,0
2018-04,62,76,52,64,0
2018-05,20,13,8,14,0
2018-06,10,10,0,15,0
2018-07,25,31,27,32,0
2018-08,13,18,15,0,0
2018-09,8,8,11,0,0
2018-10,10,15,9,14,0
2018-11,18,20,15,37,0
2018-12,17,13,0,0,0
2019-01,16,15,10,0,0
2019-02,12,15,8,0,0
2019-03,16,18,13,0,0
2019-04,44,38,37,33,0
2019-05,24,20,10,18,0
2019-06,10,19,8,0,0
2019-07,9,11,9,0,0
2019-08,7,11,0,0,0
2019-09,13,10,17,0,0
2019-10,13,13,15,21,0
2019-11,20,12,9,13,0
2019-12,9,25,11,0,0
2020-01,20,17,12,15,0
2020-02,22,30,11,21,0
2020-03,14,8,10,11,0
2020-04,10,11,8,15,0
2020-05,9,8,8,10,0
2020-06,7,8,7,0,0
2020-07,4,0,8,0,0
2020-08,10,0,11,0,0
2020-09,20,26,16,15,0
2020-10,17,69,15,0,0
2020-11,20,10,14,12,0
2020-12,11,0,12,0,0
2021-01,9,10,7,0,0
2021-02,17,13,7,0,0
2021-03,18,10,15,15,0
2021-04,17,9,15,16,0
2021-05,11,0,7,0,0
2021-06,10,0,6,0,0
2021-07,6,0,0,0,0
2021-08,8,7,0,0,0
2021-09,11,9,11,0,0
2021-10,12,9,9,16,0
2021-11,17,15,18,0,0
2021-12,11,9,7,14,0
2022-01,12,0,0,0,0
2022-02,15,8,14,0,0
2022-03,17,19,12,14,100
2022-04,20,11,18,22,0
2022-05,18,15,17,26,0
2022-06,7,0,6,0,0
2022-07,10,7,11,15,0
2022-08,10,0,10,0,0
2022-09,35,10,14,0,0
2022-10,36,17,18,27,0
2022-11,22,12,13,15,0
2022-12,53,26,30,41,0
2023-01,41,18,19,24,0
