Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Arkansas)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,20,0
2016-01,7,0,0,0,0
2016-02,6,12,0,0,0
2016-03,5,12,0,0,0
2016-04,10,0,0,0,0
2016-05,8,11,8,0,0
2016-06,0,0,0,0,0
2016-07,6,0,0,0,0
2016-08,0,0,0,0,0
2016-09,7,0,0,0,0
2016-10,11,0,0,14,0
2016-11,9,14,0,0,0
2016-12,5,0,0,0,0
2017-01,20,30,21,47,0
2017-02,12,13,12,24,0
2017-03,22,11,10,19,100
2017-04,14,20,12,16,0
2017-05,15,13,9,17,0
2017-06,12,16,0,0,0
2017-07,6,10,0,0,0
2017-08,10,9,0,23,0
2017-09,7,0,0,0,0
2017-10,14,8,0,0,0
2017-11,13,14,7,15,0
2017-12,11,10,0,17,0
2018-01,17,13,14,0,0
2018-02,11,14,13,24,0
2018-03,17,13,12,20,0
2018-04,67,83,57,70,0
2018-05,22,14,9,15,0
2018-06,11,11,0,16,0
2018-07,27,34,29,35,0
2018-08,15,20,16,0,0
2018-09,9,9,12,0,0
2018-10,11,17,10,15,0
2018-11,19,22,16,41,0
2018-12,19,14,0,0,0
2019-01,17,17,11,0,0
2019-02,13,16,9,0,0
2019-03,17,20,14,0,0
2019-04,48,42,41,37,0
2019-05,26,22,11,20,0
2019-06,11,21,9,0,0
2019-07,10,12,10,0,0
2019-08,7,12,0,0,0
2019-09,14,10,19,0,0
2019-10,14,14,16,23,0
2019-11,22,13,10,14,0
2019-12,10,27,12,0,0
2020-01,21,19,13,17,0
2020-02,24,33,12,22,0
2020-03,15,9,11,12,0
2020-04,10,12,9,17,0
2020-05,9,8,8,11,0
2020-06,8,9,7,0,0
2020-07,4,0,8,0,0
2020-08,11,0,12,0,0
2020-09,22,29,17,16,0
2020-10,18,75,16,0,0
2020-11,22,11,15,14,0
2020-12,12,0,13,0,0
2021-01,10,11,7,0,0
2021-02,18,14,7,0,0
2021-03,20,11,16,17,0
2021-04,18,10,16,18,0
2021-05,12,0,8,0,0
2021-06,11,0,7,0,0
2021-07,7,0,0,0,0
2021-08,8,8,0,0,0
2021-09,12,9,12,0,0
2021-10,13,9,9,17,0
2021-11,18,16,19,0,0
2021-12,12,10,7,15,0
2022-01,13,0,0,0,0
2022-02,16,9,16,0,0
2022-03,18,21,14,16,0
2022-04,22,12,19,24,0
2022-05,20,16,18,29,0
2022-06,8,0,7,0,0
2022-07,11,7,13,16,0
2022-08,11,0,10,0,0
2022-09,38,11,15,0,0
2022-10,39,18,20,30,0
2022-11,24,13,14,16,0
2022-12,58,29,32,44,0
2023-01,44,20,21,27,0
