Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Wyoming)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,5,0
2016-01,2,0,0,0,0
2016-02,2,3,0,0,0
2016-03,1,3,0,0,0
2016-04,3,0,0,0,0
2016-05,2,3,2,0,0
2016-06,0,0,0,0,0
2016-07,2,0,0,0,0
2016-08,0,0,0,0,0
2016-09,2,0,0,0,0
2016-10,3,0,0,4,0
2016-11,3,4,0,0,0
2016-12,1,0,0,0,0
2017-01,5,8,6,13,0
2017-02,3,3,3,6,0
2017-03,6,3,3,5,0
2017-04,4,5,3,4,0
2017-05,4,4,2,4,0
2017-06,3,4,0,0,0
2017-07,2,3,0,0,0
2017-08,3,2,0,6,0
2017-09,2,0,0,0,0
2017-10,4,2,0,0,0
2017-11,4,4,2,4,0
2017-12,3,3,0,4,0
2018-01,5,3,4,0,0
2018-02,3,4,3,6,0
2018-03,5,4,3,5,0
2018-04,18,22,15,19,0
2018-05,6,4,2,4,0
2018-06,3,3,0,4,0
2018-07,7,9,8,9,0
2018-08,4,5,4,0,0
2018-09,2,2,3,0,0
2018-10,3,5,3,4,0
2018-11,5,6,4,11,0
2018-12,5,4,0,0,0
2019-01,5,4,3,0,0
2019-02,3,4,2,0,0
2019-03,5,5,4,0,0
2019-04,13,11,11,10,0
2019-05,7,6,3,5,0
2019-06,3,6,2,0,0
2019-07,3,3,3,0,0
2019-08,2,3,0,0,0
2019-09,4,3,5,0,0
2019-10,4,4,4,6,0
2019-11,6,3,3,4,0
2019-12,3,7,3,0,0
2020-01,6,5,3,4,0
2020-02,6,9,3,6,0
2020-03,4,2,3,3,0
2020-04,3,3,2,5,0
2020-05,3,2,2,3,0
2020-06,2,2,2,0,0
2020-07,1,0,2,0,0
2020-08,3,0,3,0,0
2020-09,6,8,5,4,0
2020-10,5,20,4,0,0
2020-11,6,3,4,4,0
2020-12,3,0,3,0,0
2021-01,3,3,2,0,0
2021-02,5,4,2,0,0
2021-03,5,3,4,4,0
2021-04,5,3,4,5,0
2021-05,3,0,2,0,0
2021-06,3,0,2,0,0
2021-07,2,0,0,0,0
2021-08,2,2,0,0,0
2021-09,3,3,3,0,0
2021-10,3,3,2,5,0
2021-11,5,4,5,0,0
2021-12,3,3,2,4,0
2022-01,4,0,0,0,0
2022-02,4,2,4,0,0
2022-03,5,6,4,4,0
2022-04,6,3,5,6,0
2022-05,5,4,5,8,0
2022-06,2,0,2,0,0
2022-07,3,2,3,4,0
2022-08,3,0,3,0,0
2022-09,10,3,4,0,100
2022-10,10,5,5,8,0
2022-11,6,3,4,4,0
2022-12,15,8,9,12,0
2023-01,12,5,6,7,0
