Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Hawaii)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,80
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,3,0,0,0,0
2016-02,7,0,5,0,0
2016-03,0,5,3,7,0
2016-04,5,4,4,0,0
2016-05,3,0,0,6,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,4,0,0,0,0
2016-10,4,4,0,8,0
2016-11,3,4,0,0,0
2016-12,4,4,0,0,0
2017-01,9,10,7,20,0
2017-02,6,5,5,6,0
2017-03,8,5,4,0,0
2017-04,8,8,4,0,0
2017-05,7,4,4,9,0
2017-06,6,7,0,0,0
2017-07,2,5,0,0,0
2017-08,4,5,3,8,0
2017-09,0,0,4,7,0
2017-10,5,4,3,6,0
2017-11,6,6,3,9,0
2017-12,5,5,0,10,0
2018-01,8,6,6,9,0
2018-02,6,7,5,0,0
2018-03,7,6,5,0,0
2018-04,27,37,26,31,0
2018-05,10,8,4,10,0
2018-06,5,5,0,0,0
2018-07,12,13,13,14,0
2018-08,7,10,9,7,0
2018-09,5,6,5,7,0
2018-10,5,7,3,7,0
2018-11,10,9,8,17,0
2018-12,7,6,5,0,0
2019-01,8,5,3,0,0
2019-02,6,7,4,0,0
2019-03,6,12,5,0,0
2019-04,21,20,19,19,0
2019-05,13,10,6,8,0
2019-06,5,7,4,0,0
2019-07,4,6,4,0,0
2019-08,3,6,5,0,0
2019-09,6,6,7,0,100
2019-10,8,7,7,10,0
2019-11,11,6,5,8,0
2019-12,6,12,4,0,0
2020-01,10,9,6,11,0
2020-02,10,14,7,11,0
2020-03,7,3,4,5,0
2020-04,4,6,4,7,0
2020-05,5,3,3,6,0
2020-06,3,7,4,0,0
2020-07,2,0,3,0,0
2020-08,6,4,4,0,0
2020-09,9,12,7,8,0
2020-10,9,33,7,0,0
2020-11,10,8,7,0,0
2020-12,5,4,6,0,0
2021-01,4,5,4,0,0
2021-02,5,7,4,0,0
2021-03,9,4,6,6,0
2021-04,7,4,5,0,0
2021-05,5,4,0,0,0
2021-06,4,0,0,0,0
2021-07,0,0,4,0,0
2021-08,4,3,5,11,0
2021-09,4,5,3,0,0
2021-10,4,4,3,11,0
2021-11,7,8,8,9,0
2021-12,5,4,3,0,0
2022-01,6,0,0,0,0
2022-02,6,0,5,0,0
2022-03,8,8,6,0,0
2022-04,11,5,9,10,0
2022-05,9,7,9,13,0
2022-06,4,0,4,7,0
2022-07,5,0,6,8,0
2022-08,5,0,5,7,0
2022-09,17,6,5,0,0
2022-10,18,10,10,14,0
2022-11,11,6,7,6,0
2022-12,26,12,14,19,0
2023-01,20,9,11,11,0
