Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Louisiana)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,13,0
2016-01,5,0,0,0,0
2016-02,4,8,0,0,0
2016-03,3,8,0,0,0
2016-04,7,0,0,0,0
2016-05,5,8,5,0,0
2016-06,0,0,0,0,0
2016-07,4,0,0,0,0
2016-08,0,0,0,0,0
2016-09,5,0,0,0,0
2016-10,7,0,0,10,0
2016-11,6,9,0,0,0
2016-12,3,0,0,0,0
2017-01,13,20,15,32,0
2017-02,8,9,8,16,0
2017-03,15,8,7,13,0
2017-04,10,14,8,11,0
2017-05,10,9,6,11,0
2017-06,8,11,0,0,0
2017-07,4,7,0,0,0
2017-08,7,6,0,16,0
2017-09,5,0,0,0,0
2017-10,9,5,0,0,0
2017-11,9,9,5,10,0
2017-12,8,7,0,11,0
2018-01,12,9,10,0,0
2018-02,8,10,9,16,0
2018-03,12,9,8,14,0
2018-04,46,57,39,48,38
2018-05,15,10,6,10,0
2018-06,7,8,0,11,0
2018-07,18,23,20,24,0
2018-08,10,14,11,0,0
2018-09,6,6,8,0,0
2018-10,7,12,7,10,0
2018-11,13,15,11,28,0
2018-12,13,10,0,0,0
2019-01,12,11,8,0,0
2019-02,9,11,6,0,0
2019-03,12,14,10,0,0
2019-04,33,29,28,25,0
2019-05,18,15,8,13,0
2019-06,8,14,6,0,0
2019-07,7,8,7,0,0
2019-08,5,8,0,0,0
2019-09,10,7,13,0,0
2019-10,10,10,11,16,0
2019-11,15,9,7,10,0
2019-12,7,19,8,0,0
2020-01,15,13,9,11,0
2020-02,16,22,9,15,0
2020-03,10,6,8,8,0
2020-04,7,8,6,12,0
2020-05,6,6,6,8,0
2020-06,5,6,5,0,0
2020-07,3,0,6,0,0
2020-08,8,0,8,0,36
2020-09,15,20,12,11,0
2020-10,12,51,11,0,0
2020-11,15,8,10,9,0
2020-12,8,0,9,0,0
2021-01,7,8,5,0,0
2021-02,12,9,5,0,0
2021-03,14,7,11,11,0
2021-04,12,7,11,12,0
2021-05,8,0,5,0,0
2021-06,7,0,5,0,0
2021-07,5,0,0,0,0
2021-08,6,5,0,0,0
2021-09,8,6,8,0,0
2021-10,9,6,6,12,0
2021-11,13,11,13,0,0
2021-12,8,7,5,10,0
2022-01,9,0,0,0,0
2022-02,11,6,11,0,0
2022-03,12,14,9,11,0
2022-04,15,8,13,16,0
2022-05,14,11,12,20,0
2022-06,6,0,5,0,0
2022-07,7,5,9,11,100
2022-08,7,0,7,0,0
2022-09,26,8,10,0,0
2022-10,27,12,14,20,0
2022-11,16,9,9,11,0
2022-12,39,20,22,30,0
2023-01,30,14,14,18,0
