Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Nebraska)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,15,0
2016-01,6,0,0,0,0
2016-02,4,9,0,0,0
2016-03,4,9,0,0,0
2016-04,8,0,0,0,0
2016-05,6,8,6,0,0
2016-06,0,0,0,0,0
2016-07,5,0,0,0,0
2016-08,0,0,0,0,0
2016-09,5,0,0,0,0
2016-10,8,0,0,11,0
2016-11,7,10,0,0,0
2016-12,4,0,0,0,0
2017-01,15,22,16,36,0
2017-02,9,10,9,18,0
2017-03,17,9,7,14,0
2017-04,11,15,9,12,0
2017-05,11,10,7,13,0
2017-06,9,12,0,0,0
2017-07,4,7,0,0,0
2017-08,7,7,0,18,0
2017-09,5,0,0,0,0
2017-10,10,6,0,0,100
2017-11,10,10,5,12,82
2017-12,9,8,0,13,0
2018-01,13,10,11,0,0
2018-02,9,11,10,18,0
2018-03,13,10,9,15,0
2018-04,51,63,43,53,0
2018-05,17,11,7,11,0
2018-06,8,9,0,12,0
2018-07,20,26,22,26,0
2018-08,11,15,12,0,0
2018-09,7,7,9,0,0
2018-10,8,13,8,11,0
2018-11,14,16,12,31,0
2018-12,14,11,0,0,0
2019-01,13,13,8,0,0
2019-02,10,12,6,0,0
2019-03,13,15,11,0,0
2019-04,36,32,31,28,0
2019-05,20,17,9,15,0
2019-06,9,16,7,0,0
2019-07,8,9,7,0,0
2019-08,6,9,0,0,0
2019-09,11,8,14,0,0
2019-10,11,11,12,17,0
2019-11,16,10,8,11,0
2019-12,8,20,9,0,0
2020-01,16,14,10,13,0
2020-02,18,25,9,17,0
2020-03,11,7,8,9,0
2020-04,8,9,7,13,0
2020-05,7,6,6,9,0
2020-06,6,7,6,0,0
2020-07,3,0,6,0,0
2020-08,9,0,9,0,0
2020-09,16,22,13,12,0
2020-10,14,57,12,0,0
2020-11,17,9,11,10,0
2020-12,9,0,10,0,0
2021-01,7,9,6,0,0
2021-02,14,10,5,0,0
2021-03,15,8,12,13,0
2021-04,14,7,12,13,0
2021-05,9,0,6,0,0
2021-06,8,0,5,0,0
2021-07,5,0,0,0,0
2021-08,6,6,0,0,0
2021-09,9,7,9,0,0
2021-10,9,7,7,13,0
2021-11,14,12,15,0,0
2021-12,9,8,6,11,0
2022-01,10,0,0,0,0
2022-02,12,7,12,0,0
2022-03,14,16,10,12,0
2022-04,17,9,15,18,0
2022-05,15,12,14,22,0
2022-06,6,0,5,0,0
2022-07,8,6,9,12,0
2022-08,8,0,8,0,0
2022-09,29,8,11,0,0
2022-10,29,14,15,23,0
2022-11,18,10,10,12,0
2022-12,43,22,25,34,0
2023-01,34,15,16,20,0
