Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (North Carolina)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,100
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,18,0
2016-01,7,0,0,0,0
2016-02,5,11,0,0,0
2016-03,5,11,0,0,0
2016-04,10,0,0,0,0
2016-05,7,10,7,0,0
2016-06,0,0,0,0,0
2016-07,6,0,0,0,0
2016-08,0,0,0,0,0
2016-09,7,0,0,0,0
2016-10,10,0,0,13,0
2016-11,9,13,0,0,0
2016-12,5,0,0,0,19
2017-01,18,28,20,44,29
2017-02,11,12,11,23,0
2017-03,21,11,9,18,18
2017-04,13,19,12,15,0
2017-05,14,13,8,16,0
2017-06,12,15,0,0,0
2017-07,5,9,0,0,0
2017-08,9,8,0,22,0
2017-09,6,0,0,0,0
2017-10,13,7,0,0,0
2017-11,13,13,7,14,0
2017-12,11,10,0,16,0
2018-01,16,12,13,0,0
2018-02,11,13,12,23,0
2018-03,16,13,11,19,0
2018-04,63,78,53,65,51
2018-05,21,13,8,14,0
2018-06,10,11,0,15,0
2018-07,25,32,27,32,39
2018-08,14,19,15,0,0
2018-09,8,8,11,0,0
2018-10,10,16,10,14,18
2018-11,18,20,15,38,0
2018-12,18,13,0,0,0
2019-01,16,16,10,0,17
2019-02,12,15,8,0,0
2019-03,16,19,13,0,18
2019-04,45,39,38,34,30
2019-05,25,21,11,18,22
2019-06,11,19,8,0,0
2019-07,9,11,9,0,0
2019-08,7,11,0,0,0
2019-09,13,10,18,0,0
2019-10,13,13,15,21,0
2019-11,20,12,9,14,0
2019-12,9,25,11,0,0
2020-01,20,17,12,16,14
2020-02,22,31,12,21,0
2020-03,14,8,10,11,18
2020-04,10,11,8,16,0
2020-05,9,8,8,11,0
2020-06,8,9,7,0,0
2020-07,4,0,8,0,0
2020-08,11,0,11,0,0
2020-09,20,27,16,15,0
2020-10,17,70,15,0,0
2020-11,21,11,14,13,0
2020-12,11,0,12,0,0
2021-01,9,11,7,0,0
2021-02,17,13,7,0,0
2021-03,19,10,15,16,19
2021-04,17,9,15,17,0
2021-05,11,0,7,0,17
2021-06,10,0,6,0,0
2021-07,6,0,0,0,0
2021-08,8,7,0,0,0
2021-09,11,9,11,0,0
2021-10,12,9,9,16,0
2021-11,17,15,18,0,18
2021-12,11,9,7,14,0
2022-01,13,0,0,0,0
2022-02,15,9,15,0,0
2022-03,17,20,13,15,15
2022-04,21,11,18,22,13
2022-05,19,15,17,27,22
2022-06,8,0,7,0,0
2022-07,10,7,12,15,0
2022-08,10,0,10,0,0
2022-09,36,10,14,0,0
2022-10,37,17,19,28,26
2022-11,22,12,13,15,16
2022-12,54,27,30,42,34
2023-01,42,19,19,25,32
