Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Pennsylvania)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,8,0,0,0,0
2016-02,19,0,14,0,0
2016-03,0,14,9,20,0
2016-04,14,11,11,0,0
2016-05,8,0,0,17,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,0,0
2016-09,11,0,0,0,0
2016-10,12,11,0,20,0
2016-11,8,10,0,0,0
2016-12,9,10,0,0,0
2017-01,24,27,19,54,43
2017-02,15,14,13,17,24
2017-03,21,12,12,0,0
2017-04,21,22,12,0,0
2017-05,19,12,10,24,0
2017-06,16,19,0,0,0
2017-07,7,12,0,0,0
2017-08,10,13,8,21,0
2017-09,0,0,11,20,0
2017-10,14,11,8,16,0
2017-11,16,16,9,24,0
2017-12,13,14,0,27,0
2018-01,21,17,17,24,0
2018-02,15,18,13,0,0
2018-03,20,17,15,0,30
2018-04,73,100,70,84,68
2018-05,26,21,11,27,21
2018-06,13,14,0,0,0
2018-07,33,36,36,38,47
2018-08,18,26,23,18,0
2018-09,15,17,13,18,0
2018-10,15,18,9,20,0
2018-11,26,25,22,46,21
2018-12,18,17,14,0,0
2019-01,22,13,9,0,18
2019-02,15,18,10,0,0
2019-03,17,32,14,0,0
2019-04,56,53,51,51,47
2019-05,35,28,16,21,0
2019-06,12,19,12,0,0
2019-07,10,17,12,0,0
2019-08,8,16,12,0,0
2019-09,16,16,20,0,17
2019-10,22,18,18,28,29
2019-11,28,17,13,20,0
2019-12,15,32,11,0,0
2020-01,27,24,16,30,16
2020-02,28,39,18,29,0
2020-03,18,8,12,14,0
2020-04,11,16,10,18,0
2020-05,13,8,9,15,0
2020-06,8,18,11,0,0
2020-07,7,0,8,0,18
2020-08,17,11,12,0,0
2020-09,25,33,20,22,22
2020-10,24,89,19,0,0
2020-11,27,21,18,0,22
2020-12,14,10,15,0,24
2021-01,12,14,12,0,0
2021-02,14,18,11,0,0
2021-03,23,11,15,17,0
2021-04,19,10,13,0,0
2021-05,14,12,0,0,19
2021-06,10,0,0,0,21
2021-07,0,0,10,0,0
2021-08,10,9,13,31,0
2021-09,10,13,9,0,0
2021-10,12,12,9,30,24
2021-11,19,22,22,23,0
2021-12,14,12,9,0,0
2022-01,15,0,0,0,0
2022-02,16,0,14,0,0
2022-03,22,22,16,0,27
2022-04,30,15,25,28,25
2022-05,24,20,23,36,22
2022-06,10,0,10,18,0
2022-07,15,0,17,22,0
2022-08,13,0,13,18,0
2022-09,45,16,14,0,23
2022-10,48,26,27,38,18
2022-11,29,17,19,17,23
2022-12,69,33,37,50,41
2023-01,55,25,29,29,17
