Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Colorado)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,8,0,0,0,0
2016-02,8,15,0,21,0
2016-03,7,15,0,26,0
2016-04,15,0,9,0,0
2016-05,9,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,0,0,0,20,0
2016-09,7,0,0,0,0
2016-10,14,19,0,28,0
2016-11,12,17,11,0,0
2016-12,8,0,0,0,0
2017-01,26,32,27,62,44
2017-02,16,0,14,23,64
2017-03,26,19,14,20,0
2017-04,17,27,16,22,0
2017-05,20,13,10,0,0
2017-06,17,19,0,0,0
2017-07,8,0,0,0,0
2017-08,10,14,0,0,0
2017-09,6,0,0,0,0
2017-10,19,12,0,0,0
2017-11,17,20,12,21,0
2017-12,15,15,13,0,0
2018-01,23,19,15,20,0
2018-02,19,18,16,22,0
2018-03,24,18,13,18,0
2018-04,79,100,73,93,95
2018-05,28,22,10,17,0
2018-06,15,14,0,0,0
2018-07,38,41,37,37,60
2018-08,20,26,17,21,0
2018-09,15,0,11,21,0
2018-10,14,23,11,20,0
2018-11,26,24,20,40,0
2018-12,18,17,13,0,0
2019-01,23,21,14,0,53
2019-02,15,15,12,0,0
2019-03,22,28,16,0,0
2019-04,61,54,52,43,78
2019-05,36,27,16,21,0
2019-06,15,20,13,0,0
2019-07,14,11,10,0,0
2019-08,9,15,11,0,0
2019-09,19,20,23,0,0
2019-10,18,17,22,27,0
2019-11,28,16,11,27,0
2019-12,10,34,10,0,0
2020-01,28,25,18,25,0
2020-02,29,37,17,35,0
2020-03,21,9,8,14,0
2020-04,14,23,13,22,33
2020-05,10,0,11,0,0
2020-06,8,16,14,0,0
2020-07,0,0,0,15,0
2020-08,17,12,16,0,0
2020-09,27,36,20,22,0
2020-10,26,94,19,0,44
2020-11,27,13,19,0,0
2020-12,15,0,17,0,0
2021-01,11,11,12,0,0
2021-02,19,17,8,0,0
2021-03,25,16,15,26,0
2021-04,21,0,24,0,0
2021-05,14,14,10,0,0
2021-06,15,0,9,0,0
2021-07,7,0,8,0,0
2021-08,12,0,0,0,0
2021-09,13,12,0,0,0
2021-10,16,10,10,29,0
2021-11,22,21,24,0,0
2021-12,14,13,11,0,0
2022-01,11,0,13,0,0
2022-02,20,13,19,0,0
2022-03,23,28,14,15,0
2022-04,29,14,23,34,34
2022-05,24,20,25,37,0
2022-06,15,10,11,21,0
2022-07,16,10,14,21,0
2022-08,12,0,12,0,0
2022-09,46,17,13,0,0
2022-10,51,25,26,33,0
2022-11,31,20,12,22,0
2022-12,72,34,38,55,42
2023-01,58,26,29,28,0
